match_id,city,venue,date,team1,team2,toss_winner,toss_decision,winner,player_of_match,season,month,day,match_result_type,toss_match_win,day_type
1,Hyderabad,RGI Stadium,2017-04-05,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Field,Sunrisers Hyderabad,Yuvraj Singh,2017,4,5,Normal,No,Weekday
2,Pune,Maharashtra Cricket Association Stadium,2017-04-06,Rising Pune Supergiant,Mumbai Indians,Rising Pune Supergiant,Field,Rising Pune Supergiant,Spd Smith,2017,4,6,Normal,Yes,Weekday
3,Rajkot,SCA Stadium,2017-04-07,Gujarat Lions,Kolkata Knight Riders,Kolkata Knight Riders,Field,Kolkata Knight Riders,Ca Lynn,2017,4,7,Normal,Yes,Weekday
4,Indore,Holkar Stadium,2017-04-08,Punjab Kings,Rising Pune Supergiant,Punjab Kings,Field,Punjab Kings,Gj Maxwell,2017,4,8,Normal,Yes,Weekend
5,Bengaluru,M Chinnaswamy Stadium,2017-04-08,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,Bat,Royal Challengers Bengaluru,Km Jadhav,2017,4,8,Normal,Yes,Weekend
6,Hyderabad,RGI Stadium,2017-04-09,Sunrisers Hyderabad,Gujarat Lions,Sunrisers Hyderabad,Field,Sunrisers Hyderabad,Rashid Khan,2017,4,9,Normal,Yes,Weekend
7,Mumbai,Wankhede Stadium,2017-04-09,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Field,Mumbai Indians,N Rana,2017,4,9,Normal,Yes,Weekend
8,Indore,Holkar Stadium,2017-04-10,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Bat,Punjab Kings,Ar Patel,2017,4,10,Normal,No,Weekday
9,Pune,Maharashtra Cricket Association Stadium,2017-04-11,Rising Pune Supergiant,Delhi Capitals,Rising Pune Supergiant,Field,Delhi Capitals,Sv Samson,2017,4,11,Normal,No,Weekday
10,Mumbai,Wankhede Stadium,2017-04-12,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,Field,Mumbai Indians,Jj Bumrah,2017,4,12,Normal,Yes,Weekday
11,Kolkata,Eden Gardens,2017-04-13,Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,Field,Kolkata Knight Riders,Sp Narine,2017,4,13,Normal,Yes,Weekday
12,Bengaluru,M Chinnaswamy Stadium,2017-04-14,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,Field,Mumbai Indians,Ka Pollard,2017,4,14,Normal,Yes,Weekday
13,Rajkot,SCA Stadium,2017-04-14,Gujarat Lions,Rising Pune Supergiant,Gujarat Lions,Field,Gujarat Lions,Aj Tye,2017,4,14,Normal,Yes,Weekday
14,Kolkata,Eden Gardens,2017-04-15,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,Kolkata Knight Riders,Rv Uthappa,2017,4,15,Normal,No,Weekend
15,Delhi,Arun Jaitley Stadium,2017-04-15,Delhi Capitals,Punjab Kings,Delhi Capitals,Bat,Delhi Capitals,Cj Anderson,2017,4,15,Normal,Yes,Weekend
16,Mumbai,Wankhede Stadium,2017-04-16,Mumbai Indians,Gujarat Lions,Mumbai Indians,Field,Mumbai Indians,N Rana,2017,4,16,Normal,Yes,Weekend
17,Bengaluru,M Chinnaswamy Stadium,2017-04-16,Royal Challengers Bengaluru,Rising Pune Supergiant,Royal Challengers Bengaluru,Field,Rising Pune Supergiant,Ba Stokes,2017,4,16,Normal,No,Weekend
18,Delhi,Arun Jaitley Stadium,2017-04-17,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,Bat,Kolkata Knight Riders,Nm Coulter-Nile,2017,4,17,Normal,No,Weekday
19,Hyderabad,RGI Stadium,2017-04-17,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,Field,Sunrisers Hyderabad,B Kumar,2017,4,17,Normal,No,Weekday
20,Rajkot,SCA Stadium,2017-04-18,Gujarat Lions,Royal Challengers Bengaluru,Gujarat Lions,Field,Royal Challengers Bengaluru,Ch Gayle,2017,4,18,Normal,No,Weekday
21,Hyderabad,RGI Stadium,2017-04-19,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,Bat,Sunrisers Hyderabad,Ks Williamson,2017,4,19,Normal,Yes,Weekday
22,Indore,Holkar Stadium,2017-04-20,Punjab Kings,Mumbai Indians,Mumbai Indians,Field,Mumbai Indians,Jc Buttler,2017,4,20,Normal,Yes,Weekday
23,Kolkata,Eden Gardens,2017-04-21,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,Field,Gujarat Lions,Sk Raina,2017,4,21,Normal,Yes,Weekday
24,Mumbai,Wankhede Stadium,2017-04-22,Mumbai Indians,Delhi Capitals,Delhi Capitals,Field,Mumbai Indians,Mj Mcclenaghan,2017,4,22,Normal,No,Weekend
25,Pune,Maharashtra Cricket Association Stadium,2017-04-22,Rising Pune Supergiant,Sunrisers Hyderabad,Rising Pune Supergiant,Field,Rising Pune Supergiant,Ms Dhoni,2017,4,22,Normal,Yes,Weekend
26,Rajkot,SCA Stadium,2017-04-23,Gujarat Lions,Punjab Kings,Gujarat Lions,Field,Punjab Kings,Hm Amla,2017,4,23,Normal,No,Weekend
27,Kolkata,Eden Gardens,2017-04-23,Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Field,Kolkata Knight Riders,Nm Coulter-Nile,2017,4,23,Normal,No,Weekend
28,Mumbai,Wankhede Stadium,2017-04-24,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,Field,Rising Pune Supergiant,Ba Stokes,2017,4,24,Normal,No,Weekday
29,Pune,Maharashtra Cricket Association Stadium,2017-04-26,Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders,Field,Kolkata Knight Riders,Rv Uthappa,2017,4,26,Normal,Yes,Weekday
30,Bengaluru,M Chinnaswamy Stadium,2017-04-27,Royal Challengers Bengaluru,Gujarat Lions,Gujarat Lions,Field,Gujarat Lions,Aj Tye,2017,4,27,Normal,Yes,Weekday
31,Kolkata,Eden Gardens,2017-04-28,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,Field,Kolkata Knight Riders,G Gambhir,2017,4,28,Normal,Yes,Weekday
32,Mohali,PCA Stadium,2017-04-28,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,Field,Sunrisers Hyderabad,Rashid Khan,2017,4,28,Normal,No,Weekday
33,Pune,Maharashtra Cricket Association Stadium,2017-04-29,Rising Pune Supergiant,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Field,Rising Pune Supergiant,Lh Ferguson,2017,4,29,Normal,No,Weekend
34,Rajkot,SCA Stadium,2017-04-29,Gujarat Lions,Mumbai Indians,Gujarat Lions,Bat,No Result,Kh Pandya,2017,4,29,No Result,No,Weekend
35,Mohali,PCA Stadium,2017-04-30,Punjab Kings,Delhi Capitals,Punjab Kings,Field,Punjab Kings,Sandeep Sharma,2017,4,30,Normal,Yes,Weekend
36,Hyderabad,RGI Stadium,2017-04-30,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Field,Sunrisers Hyderabad,Da Warner,2017,4,30,Normal,No,Weekend
37,Mumbai,Wankhede Stadium,2017-05-01,Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Bat,Mumbai Indians,Rg Sharma,2017,5,1,Normal,No,Weekday
38,Pune,Maharashtra Cricket Association Stadium,2017-05-01,Rising Pune Supergiant,Gujarat Lions,Rising Pune Supergiant,Field,Rising Pune Supergiant,Ba Stokes,2017,5,1,Normal,Yes,Weekday
39,Delhi,Arun Jaitley Stadium,2017-05-02,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,Field,Delhi Capitals,Mohammed Shami,2017,5,2,Normal,Yes,Weekday
40,Kolkata,Eden Gardens,2017-05-03,Kolkata Knight Riders,Rising Pune Supergiant,Rising Pune Supergiant,Field,Rising Pune Supergiant,Ra Tripathi,2017,5,3,Normal,Yes,Weekday
41,Delhi,Arun Jaitley Stadium,2017-05-04,Delhi Capitals,Gujarat Lions,Delhi Capitals,Field,Delhi Capitals,Rr Pant,2017,5,4,Normal,Yes,Weekday
42,Bengaluru,M Chinnaswamy Stadium,2017-05-05,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,Field,Punjab Kings,Sandeep Sharma,2017,5,5,Normal,No,Weekday
43,Hyderabad,RGI Stadium,2017-05-06,Sunrisers Hyderabad,Rising Pune Supergiant,Sunrisers Hyderabad,Field,Rising Pune Supergiant,Jd Unadkat,2017,5,6,Normal,No,Weekend
44,Delhi,Arun Jaitley Stadium,2017-05-06,Delhi Capitals,Mumbai Indians,Delhi Capitals,Field,Mumbai Indians,Lmp Simmons,2017,5,6,Normal,No,Weekend
45,Bengaluru,M Chinnaswamy Stadium,2017-05-07,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,Field,Kolkata Knight Riders,Sp Narine,2017,5,7,Normal,Yes,Weekend
46,Mohali,PCA Stadium,2017-05-07,Punjab Kings,Gujarat Lions,Gujarat Lions,Field,Gujarat Lions,Dr Smith,2017,5,7,Normal,Yes,Weekend
47,Hyderabad,RGI Stadium,2017-05-08,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,Bat,Sunrisers Hyderabad,S Dhawan,2017,5,8,Normal,No,Weekday
48,Mohali,PCA Stadium,2017-05-09,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,Field,Punjab Kings,Mm Sharma,2017,5,9,Normal,No,Weekday
49,Kanpur,Green Park,2017-05-10,Gujarat Lions,Delhi Capitals,Delhi Capitals,Field,Delhi Capitals,Ss Iyer,2017,5,10,Normal,Yes,Weekday
50,Mumbai,Wankhede Stadium,2017-05-11,Mumbai Indians,Punjab Kings,Mumbai Indians,Field,Punjab Kings,Wp Saha,2017,5,11,Normal,No,Weekday
51,Delhi,Arun Jaitley Stadium,2017-05-12,Delhi Capitals,Rising Pune Supergiant,Delhi Capitals,Bat,Delhi Capitals,Kk Nair,2017,5,12,Normal,Yes,Weekday
52,Kanpur,Green Park,2017-05-13,Gujarat Lions,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,Sunrisers Hyderabad,Mohammed Siraj,2017,5,13,Normal,Yes,Weekend
53,Kolkata,Eden Gardens,2017-05-13,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,Field,Mumbai Indians,At Rayudu,2017,5,13,Normal,No,Weekend
54,Pune,Maharashtra Cricket Association Stadium,2017-05-14,Rising Pune Supergiant,Punjab Kings,Rising Pune Supergiant,Field,Rising Pune Supergiant,Jd Unadkat,2017,5,14,Normal,Yes,Weekend
55,Delhi,Arun Jaitley Stadium,2017-05-14,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Bat,Royal Challengers Bengaluru,Hv Patel,2017,5,14,Normal,Yes,Weekend
56,Mumbai,Wankhede Stadium,2017-05-16,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,Field,Rising Pune Supergiant,Washington Sundar,2017,5,16,Normal,No,Weekday
57,Bengaluru,M Chinnaswamy Stadium,2017-05-17,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Field,Kolkata Knight Riders,Nm Coulter-Nile,2017,5,17,Normal,Yes,Weekday
58,Bengaluru,M Chinnaswamy Stadium,2017-05-19,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,Field,Mumbai Indians,Kv Sharma,2017,5,19,Normal,Yes,Weekday
59,Hyderabad,RGI Stadium,2017-05-21,Mumbai Indians,Rising Pune Supergiant,Mumbai Indians,Bat,Mumbai Indians,Kh Pandya,2017,5,21,Normal,Yes,Weekend
60,Mumbai,Wankhede Stadium,2018-04-07,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Field,Chennai Super Kings,Dj Bravo,2018,4,7,Normal,Yes,Weekend
61,Mohali,PCA Stadium,2018-04-08,Delhi Capitals,Punjab Kings,Punjab Kings,Field,Punjab Kings,Kl Rahul,2018,4,8,Normal,Yes,Weekend
62,Kolkata,Eden Gardens,2018-04-08,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,Field,Kolkata Knight Riders,Sp Narine,2018,4,8,Normal,Yes,Weekend
63,Hyderabad,RGI Stadium,2018-04-09,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,Sunrisers Hyderabad,S Dhawan,2018,4,9,Normal,Yes,Weekday
64,Chennai,MA Chidambaram Stadium,2018-04-10,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Field,Chennai Super Kings,Sw Billings,2018,4,10,Normal,Yes,Weekday
65,Jaipur,Sawai Mansingh Stadium,2018-04-11,Rajasthan Royals,Delhi Capitals,Delhi Capitals,Field,Rajasthan Royals,Sv Samson,2018,4,11,Normal,No,Weekday
66,Hyderabad,RGI Stadium,2018-04-12,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,Sunrisers Hyderabad,Rashid Khan,2018,4,12,Normal,Yes,Weekday
67,Bengaluru,M Chinnaswamy Stadium,2018-04-13,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Field,Royal Challengers Bengaluru,Ut Yadav,2018,4,13,Normal,Yes,Weekday
68,Mumbai,Wankhede Stadium,2018-04-14,Mumbai Indians,Delhi Capitals,Delhi Capitals,Field,Delhi Capitals,Jj Roy,2018,4,14,Normal,Yes,Weekend
69,Kolkata,Eden Gardens,2018-04-14,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,Sunrisers Hyderabad,B Stanlake,2018,4,14,Normal,Yes,Weekend
70,Bengaluru,M Chinnaswamy Stadium,2018-04-15,Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Field,Rajasthan Royals,Sv Samson,2018,4,15,Normal,No,Weekend
71,Mohali,PCA Stadium,2018-04-15,Punjab Kings,Chennai Super Kings,Chennai Super Kings,Field,Punjab Kings,Ch Gayle,2018,4,15,Normal,No,Weekend
72,Kolkata,Eden Gardens,2018-04-16,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,Field,Kolkata Knight Riders,N Rana,2018,4,16,Normal,No,Weekday
73,Mumbai,Wankhede Stadium,2018-04-17,Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Field,Mumbai Indians,Rg Sharma,2018,4,17,Normal,No,Weekday
74,Jaipur,Sawai Mansingh Stadium,2018-04-18,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Field,Kolkata Knight Riders,N Rana,2018,4,18,Normal,Yes,Weekday
75,Mohali,PCA Stadium,2018-04-19,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,Bat,Punjab Kings,Ch Gayle,2018,4,19,Normal,Yes,Weekday
76,Pune,Maharashtra Cricket Association Stadium,2018-04-20,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Field,Chennai Super Kings,Sr Watson,2018,4,20,Normal,No,Weekday
77,Kolkata,Eden Gardens,2018-04-21,Kolkata Knight Riders,Punjab Kings,Punjab Kings,Field,Punjab Kings,Kl Rahul,2018,4,21,Normal,Yes,Weekend
78,Bengaluru,M Chinnaswamy Stadium,2018-04-21,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Field,Royal Challengers Bengaluru,Ab De Villiers,2018,4,21,Normal,Yes,Weekend
79,Hyderabad,RGI Stadium,2018-04-22,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,Chennai Super Kings,At Rayudu,2018,4,22,Normal,No,Weekend
80,Jaipur,Sawai Mansingh Stadium,2018-04-22,Mumbai Indians,Rajasthan Royals,Mumbai Indians,Bat,Rajasthan Royals,Jc Archer,2018,4,22,Normal,No,Weekend
81,Delhi,Arun Jaitley Stadium,2018-04-23,Punjab Kings,Delhi Capitals,Delhi Capitals,Field,Punjab Kings,As Rajpoot,2018,4,23,Normal,No,Weekday
82,Mumbai,Wankhede Stadium,2018-04-24,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,Field,Sunrisers Hyderabad,Rashid Khan,2018,4,24,Normal,No,Weekday
83,Bengaluru,M Chinnaswamy Stadium,2018-04-25,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,Field,Chennai Super Kings,Ms Dhoni,2018,4,25,Normal,Yes,Weekday
84,Hyderabad,RGI Stadium,2018-04-26,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,Field,Sunrisers Hyderabad,As Rajpoot,2018,4,26,Normal,No,Weekday
85,Delhi,Arun Jaitley Stadium,2018-04-27,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,Field,Delhi Capitals,Ss Iyer,2018,4,27,Normal,No,Weekday
86,Pune,Maharashtra Cricket Association Stadium,2018-04-28,Chennai Super Kings,Mumbai Indians,Mumbai Indians,Field,Mumbai Indians,Rg Sharma,2018,4,28,Normal,Yes,Weekend
87,Jaipur,Sawai Mansingh Stadium,2018-04-29,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,Bat,Sunrisers Hyderabad,Ks Williamson,2018,4,29,Normal,Yes,Weekend
88,Bengaluru,M Chinnaswamy Stadium,2018-04-29,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,Field,Kolkata Knight Riders,Ca Lynn,2018,4,29,Normal,Yes,Weekend
89,Pune,Maharashtra Cricket Association Stadium,2018-04-30,Chennai Super Kings,Delhi Capitals,Delhi Capitals,Field,Chennai Super Kings,Sr Watson,2018,4,30,Normal,No,Weekday
90,Bengaluru,M Chinnaswamy Stadium,2018-05-01,Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,Field,Royal Challengers Bengaluru,Tg Southee,2018,5,1,Normal,No,Weekday
91,Delhi,Arun Jaitley Stadium,2018-05-02,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,Field,Delhi Capitals,Rr Pant,2018,5,2,Normal,No,Weekday
92,Kolkata,Eden Gardens,2018-05-03,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,Field,Kolkata Knight Riders,Sp Narine,2018,5,3,Normal,Yes,Weekday
93,Indore,Holkar Stadium,2018-05-04,Punjab Kings,Mumbai Indians,Mumbai Indians,Field,Mumbai Indians,Sa Yadav,2018,5,4,Normal,Yes,Weekday
94,Pune,Maharashtra Cricket Association Stadium,2018-05-05,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,Field,Chennai Super Kings,Ra Jadeja,2018,5,5,Normal,Yes,Weekend
95,Hyderabad,RGI Stadium,2018-05-05,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,Bat,Sunrisers Hyderabad,Rashid Khan,2018,5,5,Normal,No,Weekend
96,Mumbai,Wankhede Stadium,2018-05-06,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Field,Mumbai Indians,Hh Pandya,2018,5,6,Normal,No,Weekend
97,Indore,Holkar Stadium,2018-05-06,Rajasthan Royals,Punjab Kings,Punjab Kings,Field,Punjab Kings,Mujeeb Ur Rahman,2018,5,6,Normal,Yes,Weekend
98,Hyderabad,RGI Stadium,2018-05-07,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Field,Sunrisers Hyderabad,Ks Williamson,2018,5,7,Normal,No,Weekday
99,Jaipur,Sawai Mansingh Stadium,2018-05-08,Rajasthan Royals,Punjab Kings,Rajasthan Royals,Bat,Rajasthan Royals,Jc Buttler,2018,5,8,Normal,Yes,Weekday
100,Kolkata,Eden Gardens,2018-05-09,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,Field,Mumbai Indians,Ishan Kishan,2018,5,9,Normal,No,Weekday
101,Delhi,Arun Jaitley Stadium,2018-05-10,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,Bat,Sunrisers Hyderabad,S Dhawan,2018,5,10,Normal,No,Weekday
102,Jaipur,Sawai Mansingh Stadium,2018-05-11,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,Bat,Rajasthan Royals,Jc Buttler,2018,5,11,Normal,No,Weekday
103,Indore,Holkar Stadium,2018-05-12,Kolkata Knight Riders,Punjab Kings,Punjab Kings,Field,Kolkata Knight Riders,Sp Narine,2018,5,12,Normal,No,Weekend
104,Delhi,Arun Jaitley Stadium,2018-05-12,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Field,Royal Challengers Bengaluru,Ab De Villiers,2018,5,12,Normal,Yes,Weekend
105,Pune,Maharashtra Cricket Association Stadium,2018-05-13,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Field,Chennai Super Kings,At Rayudu,2018,5,13,Normal,Yes,Weekend
106,Mumbai,Wankhede Stadium,2018-05-13,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,Field,Rajasthan Royals,Jc Buttler,2018,5,13,Normal,Yes,Weekend
107,Indore,Holkar Stadium,2018-05-14,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Field,Royal Challengers Bengaluru,Ut Yadav,2018,5,14,Normal,Yes,Weekday
108,Kolkata,Eden Gardens,2018-05-15,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Field,Kolkata Knight Riders,Kuldeep Yadav,2018,5,15,Normal,Yes,Weekday
109,Mumbai,Wankhede Stadium,2018-05-16,Mumbai Indians,Punjab Kings,Punjab Kings,Field,Mumbai Indians,Jj Bumrah,2018,5,16,Normal,No,Weekday
110,Bengaluru,M Chinnaswamy Stadium,2018-05-17,Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,Royal Challengers Bengaluru,Ab De Villiers,2018,5,17,Normal,No,Weekday
111,Delhi,Arun Jaitley Stadium,2018-05-18,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,Field,Delhi Capitals,Hv Patel,2018,5,18,Normal,No,Weekday
112,Jaipur,Sawai Mansingh Stadium,2018-05-19,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,Bat,Rajasthan Royals,S Gopal,2018,5,19,Normal,Yes,Weekend
113,Hyderabad,RGI Stadium,2018-05-19,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,Bat,Kolkata Knight Riders,Ca Lynn,2018,5,19,Normal,No,Weekend
114,Delhi,Arun Jaitley Stadium,2018-05-20,Delhi Capitals,Mumbai Indians,Delhi Capitals,Bat,Delhi Capitals,A Mishra,2018,5,20,Normal,Yes,Weekend
115,Pune,Maharashtra Cricket Association Stadium,2018-05-20,Punjab Kings,Chennai Super Kings,Chennai Super Kings,Field,Chennai Super Kings,L Ngidi,2018,5,20,Normal,Yes,Weekend
116,Mumbai,Wankhede Stadium,2018-05-22,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Field,Chennai Super Kings,F Du Plessis,2018,5,22,Normal,Yes,Weekday
117,Kolkata,Eden Gardens,2018-05-23,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,Field,Kolkata Knight Riders,Ad Russell,2018,5,23,Normal,No,Weekday
118,Kolkata,Eden Gardens,2018-05-25,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Field,Sunrisers Hyderabad,Rashid Khan,2018,5,25,Normal,No,Weekday
119,Mumbai,Wankhede Stadium,2018-05-27,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,Field,Chennai Super Kings,Sr Watson,2018,5,27,Normal,Yes,Weekend
120,Chennai,MA Chidambaram Stadium,2019-03-23,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,Field,Chennai Super Kings,Harbhajan Singh,2019,3,23,Normal,Yes,Weekend
121,Kolkata,Eden Gardens,2019-03-24,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,Field,Kolkata Knight Riders,Ad Russell,2019,3,24,Normal,Yes,Weekend
122,Mumbai,Wankhede Stadium,2019-03-24,Delhi Capitals,Mumbai Indians,Mumbai Indians,Field,Delhi Capitals,Rr Pant,2019,3,24,Normal,No,Weekend
123,Jaipur,Sawai Mansingh Stadium,2019-03-25,Punjab Kings,Rajasthan Royals,Rajasthan Royals,Field,Punjab Kings,Ch Gayle,2019,3,25,Normal,No,Weekday
124,Delhi,Arun Jaitley Stadium,2019-03-26,Delhi Capitals,Chennai Super Kings,Delhi Capitals,Bat,Chennai Super Kings,Sr Watson,2019,3,26,Normal,No,Weekday
125,Kolkata,Eden Gardens,2019-03-27,Kolkata Knight Riders,Punjab Kings,Punjab Kings,Field,Kolkata Knight Riders,Ad Russell,2019,3,27,Normal,No,Weekday
126,Bengaluru,M Chinnaswamy Stadium,2019-03-28,Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Field,Mumbai Indians,Jj Bumrah,2019,3,28,Normal,No,Weekday
127,Hyderabad,RGI Stadium,2019-03-29,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,Bat,Sunrisers Hyderabad,Rashid Khan,2019,3,29,Normal,No,Weekday
128,Mohali,PCA Stadium,2019-03-30,Mumbai Indians,Punjab Kings,Punjab Kings,Field,Punjab Kings,Ma Agarwal,2019,3,30,Normal,Yes,Weekend
129,Delhi,Arun Jaitley Stadium,2019-03-30,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,Field,No Result,Pp Shaw,2019,3,30,No Result,No,Weekend
130,Hyderabad,RGI Stadium,2019-03-31,Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Field,Sunrisers Hyderabad,Jm Bairstow,2019,3,31,Normal,No,Weekend
131,Chennai,MA Chidambaram Stadium,2019-03-31,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,Field,Chennai Super Kings,Ms Dhoni,2019,3,31,Normal,No,Weekend
132,Mohali,PCA Stadium,2019-04-01,Punjab Kings,Delhi Capitals,Delhi Capitals,Field,Punjab Kings,Sm Curran,2019,4,1,Normal,No,Weekday
133,Jaipur,Sawai Mansingh Stadium,2019-04-02,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,Field,Rajasthan Royals,S Gopal,2019,4,2,Normal,Yes,Weekday
134,Mumbai,Wankhede Stadium,2019-04-03,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,Field,Mumbai Indians,Hh Pandya,2019,4,3,Normal,No,Weekday
135,Delhi,Arun Jaitley Stadium,2019-04-04,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,Sunrisers Hyderabad,Jm Bairstow,2019,4,4,Normal,Yes,Weekday
136,Bengaluru,M Chinnaswamy Stadium,2019-04-05,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,Field,Kolkata Knight Riders,Ad Russell,2019,4,5,Normal,Yes,Weekday
137,Chennai,MA Chidambaram Stadium,2019-04-06,Chennai Super Kings,Punjab Kings,Chennai Super Kings,Bat,Chennai Super Kings,Harbhajan Singh,2019,4,6,Normal,Yes,Weekend
138,Hyderabad,RGI Stadium,2019-04-06,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,Mumbai Indians,As Joseph,2019,4,6,Normal,No,Weekend
139,Bengaluru,M Chinnaswamy Stadium,2019-04-07,Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,Field,Delhi Capitals,K Rabada,2019,4,7,Normal,Yes,Weekend
140,Jaipur,Sawai Mansingh Stadium,2019-04-07,Rajasthan Royals,Kolkata Knight Riders,Kolkata Knight Riders,Field,Kolkata Knight Riders,Hf Gurney,2019,4,7,Normal,Yes,Weekend
141,Mohali,PCA Stadium,2019-04-08,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,Field,Punjab Kings,Kl Rahul,2019,4,8,Normal,Yes,Weekday
